mdb.load (2) cost time: 1.180563ms
mdb.load (0) cost time: 1.206966ms
mdb.load (1) cost time: 1.228299ms
mdb.load success.
mdb.load (3) cost time: 1.340579ms
2014/09/28 14:37:38 [I] - load player_tower_level
2014/09/28 14:37:38 [I] - load player_trader_refresh_state
2014/09/28 14:37:38 [I] - load player_trader_refresh_state
2014/09/28 14:37:38 [I] - load player_town
2014/09/28 14:37:38 [I] - load player_trader_store_state
2014/09/28 14:37:38 [I] - load player_trader_store_state
2014/09/28 14:37:38 [I] - load player_trader_refresh_state
2014/09/28 14:37:38 [I] - load player_use_skill
2014/09/28 14:37:38 [I] - load player_trader_refresh_state
2014/09/28 14:37:38 [I] - load player_use_skill
2014/09/28 14:37:38 [I] - load player_trader_store_state
2014/09/28 14:37:38 [I] - load player_trader_store_state
2014/09/28 14:37:38 [I] - load player_use_skill
2014/09/28 14:37:38 [I] - load player_vip
2014/09/28 14:37:38 [I] - load player_use_skill
2014/09/28 14:37:38 [I] - load player_vip
2014/09/28 14:37:38 [I] - load player_vip
2014/09/28 14:37:38 [I] - load player_vip
2014/09/28 14:39:35 [E] - [tlog] GameSvrState error. write udp4 127.0.0.1:6667: connection refused
 info: &{2014-09-28 14:39:35.650673781 +0800 CST 127.0.0.1}
2014/09/28 14:39:38 [E] - [tlog] GameSvrState error. write udp4 127.0.0.1:6667: connection refused
 info: &{2014-09-28 14:39:38.816929513 +0800 CST 127.0.0.1}
mdb.load (2) cost time: 12.306122ms
mdb.load (0) cost time: 12.311864ms
mdb.load (3) cost time: 12.418337ms
mdb.load (1) cost time: 12.647323ms
mdb.load success.
mdb.load (1) cost time: 1.059599ms
mdb.load (0) cost time: 1.102885ms
mdb.load (2) cost time: 1.224708ms
mdb.load (3) cost time: 1.286165ms
mdb.load success.
2014/09/28 14:41:33 [I] - load player
2014/09/28 14:41:33 [I] - load player
2014/09/28 14:41:33 [I] - load player
2014/09/28 14:41:33 [I] - load player
2014/09/28 14:41:33 [I] - load player_arena
2014/09/28 14:41:33 [I] - load player_arena
2014/09/28 14:41:33 [I] - load player_arena_record
2014/09/28 14:41:33 [I] - load player_arena
2014/09/28 14:41:33 [I] - load player_arena_record
2014/09/28 14:41:33 [I] - load player_battle_pet
2014/09/28 14:41:33 [I] - load player_battle_pet
2014/09/28 14:41:33 [I] - load player_arena
2014/09/28 14:41:33 [I] - load player_arena_record
2014/09/28 14:41:33 [I] - load player_battle_pet
2014/09/28 14:41:33 [I] - load player_arena_record
2014/09/28 14:41:33 [I] - load player_battle_pet_config
2014/09/28 14:41:33 [I] - load player_battle_pet
2014/09/28 14:41:33 [I] - load player_battle_pet_config
2014/09/28 14:41:33 [I] - load player_chest_state
2014/09/28 14:41:33 [I] - load player_battle_pet_config
2014/09/28 14:41:33 [I] - load player_chest_state
2014/09/28 14:41:33 [I] - load player_chest_state
2014/09/28 14:41:33 [I] - load player_battle_pet_config
2014/09/28 14:41:33 [I] - load player_coins
2014/09/28 14:41:33 [I] - load player_coins
2014/09/28 14:41:33 [I] - load player_chest_state
2014/09/28 14:41:33 [I] - load player_daily_quest
2014/09/28 14:41:33 [I] - load player_coins
2014/09/28 14:41:33 [I] - load player_daily_quest
2014/09/28 14:41:33 [I] - load player_daily_quest
2014/09/28 14:41:33 [I] - load player_coins
2014/09/28 14:41:33 [I] - load player_daily_sign_in_record
2014/09/28 14:41:33 [I] - load player_daily_quest
2014/09/28 14:41:33 [I] - load player_daily_sign_in_record
2014/09/28 14:41:33 [I] - load player_daily_sign_in_state
2014/09/28 14:41:33 [I] - load player_daily_sign_in_record
2014/09/28 14:41:33 [I] - load player_daily_sign_in_state
2014/09/28 14:41:33 [I] - load player_equipment
2014/09/28 14:41:33 [I] - load player_daily_sign_in_state
2014/09/28 14:41:33 [I] - load player_daily_sign_in_record
2014/09/28 14:41:33 [I] - load player_equipment
2014/09/28 14:41:33 [I] - load player_equipment
2014/09/28 14:41:33 [I] - load player_daily_sign_in_state
2014/09/28 14:41:33 [I] - load player_events_fight_power
2014/09/28 14:41:33 [I] - load player_equipment
2014/09/28 14:41:33 [I] - load player_events_fight_power
2014/09/28 14:41:33 [I] - load player_extend_level
2014/09/28 14:41:33 [I] - load player_events_fight_power
2014/09/28 14:41:33 [I] - load player_extend_level
2014/09/28 14:41:33 [I] - load player_events_fight_power
2014/09/28 14:41:33 [I] - load player_fashion
2014/09/28 14:41:33 [I] - load player_extend_level
2014/09/28 14:41:33 [I] - load player_fashion
2014/09/28 14:41:33 [I] - load player_extend_level
2014/09/28 14:41:33 [I] - load player_fashion_state
2014/09/28 14:41:33 [I] - load player_fashion_state
2014/09/28 14:41:33 [I] - load player_fashion
2014/09/28 14:41:33 [I] - load player_fashion
2014/09/28 14:41:33 [I] - load player_fight_num
2014/09/28 14:41:33 [I] - load player_fight_num
2014/09/28 14:41:33 [I] - load player_fashion_state
2014/09/28 14:41:33 [I] - load player_fashion_state
2014/09/28 14:41:33 [I] - load player_formation
2014/09/28 14:41:33 [I] - load player_formation
2014/09/28 14:41:33 [I] - load player_fight_num
2014/09/28 14:41:33 [I] - load player_fight_num
2014/09/28 14:41:33 [I] - load player_func_key
2014/09/28 14:41:33 [I] - load player_formation
2014/09/28 14:41:33 [I] - load player_func_key
2014/09/28 14:41:33 [I] - load player_ghost
2014/09/28 14:41:33 [I] - load player_formation
2014/09/28 14:41:33 [I] - load player_ghost
2014/09/28 14:41:33 [I] - load player_func_key
2014/09/28 14:41:33 [I] - load player_func_key
2014/09/28 14:41:33 [I] - load player_ghost
2014/09/28 14:41:33 [I] - load player_ghost_equipment
2014/09/28 14:41:33 [I] - load player_ghost
2014/09/28 14:41:33 [I] - load player_ghost_equipment
2014/09/28 14:41:33 [I] - load player_ghost_equipment
2014/09/28 14:41:33 [I] - load player_ghost_state
2014/09/28 14:41:33 [I] - load player_ghost_equipment
2014/09/28 14:41:33 [I] - load player_ghost_state
2014/09/28 14:41:33 [I] - load player_ghost_umbra
2014/09/28 14:41:33 [I] - load player_ghost_umbra
2014/09/28 14:41:33 [I] - load player_ghost_state
2014/09/28 14:41:33 [I] - load player_ghost_state
2014/09/28 14:41:33 [I] - load player_ghost_umbra
2014/09/28 14:41:33 [I] - load player_hard_level
2014/09/28 14:41:33 [I] - load player_ghost_umbra
2014/09/28 14:41:33 [I] - load player_hard_level_record
2014/09/28 14:41:33 [I] - load player_hard_level
2014/09/28 14:41:33 [I] - load player_hard_level
2014/09/28 14:41:33 [I] - load player_hard_level_record
2014/09/28 14:41:33 [I] - load player_hard_level
2014/09/28 14:41:33 [I] - load player_hard_level_state
2014/09/28 14:41:33 [I] - load player_hard_level_record
2014/09/28 14:41:33 [I] - load player_hard_level_record
2014/09/28 14:41:33 [I] - load player_heart
2014/09/28 14:41:33 [I] - load player_hard_level_state
2014/09/28 14:41:33 [I] - load player_heart_draw
2014/09/28 14:41:33 [I] - load player_heart
2014/09/28 14:41:33 [I] - load player_hard_level_state
2014/09/28 14:41:33 [I] - load player_hard_level_state
2014/09/28 14:41:33 [I] - load player_heart
2014/09/28 14:41:33 [I] - load player_heart_draw
2014/09/28 14:41:33 [I] - load player_heart
2014/09/28 14:41:33 [I] - load player_heart_draw_card_record
2014/09/28 14:41:33 [I] - load player_heart_draw
2014/09/28 14:41:33 [I] - load player_heart_draw
2014/09/28 14:41:33 [I] - load player_heart_draw_wheel_record
2014/09/28 14:41:33 [I] - load player_heart_draw_card_record
2014/09/28 14:41:33 [I] - load player_heart_draw_card_record
2014/09/28 14:41:33 [I] - load player_info
2014/09/28 14:41:33 [I] - load player_heart_draw_wheel_record
2014/09/28 14:41:33 [I] - load player_heart_draw_card_record
2014/09/28 14:41:33 [I] - load player_heart_draw_wheel_record
2014/09/28 14:41:33 [I] - load player_heart_draw_wheel_record
2014/09/28 14:41:33 [I] - load player_info
2014/09/28 14:41:33 [I] - load player_is_operated
2014/09/28 14:41:33 [I] - load player_info
2014/09/28 14:41:33 [I] - load player_info
2014/09/28 14:41:33 [I] - load player_item
2014/09/28 14:41:33 [I] - load player_is_operated
2014/09/28 14:41:33 [I] - load player_is_operated
2014/09/28 14:41:33 [I] - load player_is_operated
2014/09/28 14:41:33 [I] - load player_item
2014/09/28 14:41:33 [I] - load player_item
2014/09/28 14:41:33 [I] - load player_item
2014/09/28 14:41:33 [I] - load player_item_appendix
2014/09/28 14:41:33 [I] - load player_item_appendix
2014/09/28 14:41:33 [I] - load player_item_appendix
2014/09/28 14:41:33 [I] - load player_item_appendix
2014/09/28 14:41:33 [I] - load player_item_buyback
2014/09/28 14:41:33 [I] - load player_item_buyback
2014/09/28 14:41:33 [I] - load player_item_recast_state
2014/09/28 14:41:33 [I] - load player_item_buyback
2014/09/28 14:41:33 [I] - load player_item_recast_state
2014/09/28 14:41:33 [I] - load player_login_award_record
2014/09/28 14:41:33 [I] - load player_item_recast_state
2014/09/28 14:41:33 [I] - load player_item_buyback
2014/09/28 14:41:33 [I] - load player_login_award_record
2014/09/28 14:41:33 [I] - load player_mail
2014/09/28 14:41:33 [I] - load player_login_award_record
2014/09/28 14:41:33 [I] - load player_item_recast_state
2014/09/28 14:41:33 [I] - load player_mail
2014/09/28 14:41:33 [I] - load player_mail
2014/09/28 14:41:33 [I] - load player_login_award_record
2014/09/28 14:41:33 [I] - load player_mail_attachment
2014/09/28 14:41:33 [I] - load player_mail
2014/09/28 14:41:33 [I] - load player_mail_attachment
2014/09/28 14:41:33 [I] - load player_mission
2014/09/28 14:41:33 [I] - load player_mail_attachment
2014/09/28 14:41:33 [I] - load player_mission
2014/09/28 14:41:33 [I] - load player_mission_level
2014/09/28 14:41:33 [I] - load player_mission
2014/09/28 14:41:33 [I] - load player_mission_level
2014/09/28 14:41:33 [I] - load player_mail_attachment
2014/09/28 14:41:33 [I] - load player_mission_level
2014/09/28 14:41:33 [I] - load player_mission_level_record
2014/09/28 14:41:33 [I] - load player_mission_level_record
